hgnc_symbol	agilent_cgh_44b
IGHV3-25	
IGHVII-65-1	
IGHV3-75	
IGHV2-70D	
IGHD1-7	
IGHVII-33-1	
IGHV3-37	
IGHVII-26-2	
IGHV3-62	
ATP5MC1P1	
IGHV1-67	
IGHVII-1-1	
IGHD2-2	
HOMER2P1	
IGHVIV-44-1	
IGHD4-11	
IGHV1-69-2	
IGHV3-30	
IGHVIII-67-4	
VARS1	
IGHV4-4	
CUTA	
IGHG2	
GAL3ST2	
NEU4	
IGHV3-71	
IGHV1-69	
IGHV3-52	
IGHV3-49	
COPDA1	
IGHV3-76	
IGHVII-49-1	
IGHV1-46	
SLC20A1P1	
IGHVII-60-1	
IGHV5-78	
IGHV3-23	
CLN8	
IGHVIII-67-2	
IGHV1-14	
MCCD1P1	
BAG6	
CLN8-AS1	
LINC00242	
LINC00574	A_14_P130988
DYNLT2	
RN7SKP117	
RPS27P14	
MARVELD2	
SAPCD1-AS1	
HLA-DPB2	
RNF5	
LINC01237	
EHMT2	
FAM240C	
HLA-J	A_14_P131430
TRIM31	
RTP5	A_14_P102642
PDCD1	
C6orf15	
GRK1	
TMEM255B	
TMC4	
LINC00552	
ADAM9	
RPL7AP80	
HLA-U	
COL11A2P1	
MTCO2P32	
LPCAT1	
RNU6-164P	
ADAM32	A_14_P117129
ADAM32	
ADAM32	A_14_P105280
LILRB1-AS1	
LILRB3	
GAPDHP26	
BAAT	
TAF4	
FYTTD1P1	
TRMT112P4	
PLPPR1	A_14_P111675
PLPPR1	A_14_P104855
PLPPR1	
CDH4	A_14_P115196
CDH4	A_14_P132342
TUBB	
B3GALT4	A_14_P111988
SNHG32	
CLPTM1L	
TRPC6P4	
HLA-DRB2	
GLIS2	A_14_P109388
OCLN	
VASN	
MAPK15	A_14_P129093
MAPK15	
CORO7-PAM16	
LY6L	
LY6H	
LYPLA2P1	
HLA-DPA2	
TRIM40	
NPIPA5	
NOMO1	
LINC02536	
PTPRK-AS1	
MRPS17P5	
PTPRK	
FAM83H	
LINC02904	
LINC02878	
GLIS2-AS1	
GFUS	
NMRAL1	
PRB3	
CCDC125	
MSH5	
LINC01511	
SLC6A3	
LY6E	
TAS2R42	
PSMB8	
ADAM18	
ADAM18	A_14_P133089
LY6G5B	
CCL23	
SUCLA2P1	
HLA-DRB1	
HLA-DPA1	
NAIPP4	
TBC1D3G	
HMGN1P12	
CFL1P5	
AK6	
PRB4	
PUF60	
HMOX2	A_14_P200412
HMOX2	
PRH1	
C6orf47-AS1	
LY6E-DT	
AK3P2	
TSPY24P	
ZNF92P1Y	
RBMY3AP	
RFTN1P1	
CCL16	
SERBP1P2	
TSPY12P	
DUX4L19	
TTTY12	
TTTY7B	
RPL3P10	
DDX52	
OFD1P3Y	
RBMY2HP	
TTTY6	
ELOCP35	
SLC9B1P1	
USP12PY	
TTTY23	
KDM5DP1	
TTTY7	
LINC00279	
LINC00279	A_14_P122865
DUX4L17	
PRY	
RRN3	
TSPY18P	
PCMTD1P1	
HSFY7P	
ZNF736P6Y	
TUSC2P1	
RBMY2AP	
FAM197Y5	
TTTY2B	
TTTY21	
MRPS36	
PUDPP1	
CDRT15P10	
USP9Y	
HLA-F	
HLA-E	
CDH12P4	
TBC1D3K	
RING1	
ZDHHC20P1	
IER3	
FKBPL	
RPL12P1	
RPS18	
CYP21A1P	A_14_P138696
HLA-DPB1	
AIF1	
AIF1	A_14_P114894
HLA-A	A_14_P131430
HMGB1P24	
LHX1-DT	
LYZL6	
LY6G6C	
MRPL45	
CDY3P	
PRY2	
PARN	
TSPY25P	
OFD1P8Y	
NAPRT	
RNF19BPY	
TSPY23P	
HLA-DOA	
FAM197Y2	
TUBB1P2	
DUX4L31	
TSPY13P	
TBC1D3L	
ACTR3BP1	
RPS24P1	
RBMY2FP	
NEK4P1	
TTTY1B	
RCC2P2	
ZNF736P8Y	
RBMY2OP	
EIF1AY	
PAM16	
DHFRP2	
ZNF70P1	
AGER	
HLA-DRB7	
TSPY19P	
BPY2	
ACACA	
